id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
72427,,38.333886,-122.66387,Curtis Drive,inside,1.43,83.0,28.333333333333336,28.0,1010.48,,,,,,,,,,,,,2020-10-15 20:29:59,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.6,1.37,2.12,5.86,5.55,4.72
62627,,38.552554,-121.479101,Curtis Park,inside,3.1,87.0,30.555555555555557,27.0,1016.76,,,,,,,,,,,,,2020-10-15 20:31:19,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,7.4,17.52,16.85,6.46,6.84,9.25
5222,,34.100237,-118.13673,Curtis_JKM,outside,25.05,109.0,42.77777777777778,9.0,995.21,,,,,,,,,,,,,2020-10-15 20:30:28,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,23.03,21.69,21.01,20.8,19.84,30.74
65063,,37.280253,-121.912322,Curtner & Meridian,inside,0.34,86.0,30.0,24.0,1009.99,,,,,,,,,,,,,2020-10-15 20:30:16,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.21,0.27,0.36,1.09,3.73,9.01
72119,,36.969025,-122.011809,Cushnir,outside,2.37,101.0,38.333333333333336,8.0,1014.13,,,,,,,,,,,,,2020-10-15 20:29:49,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.75,3.34,3.96,6.78,9.07,13.2
56705,,48.95074,-122.55441,Custer-Loomis,outside,3.49,66.0,18.88888888888889,98.0,1033.98,,,,,,,,,,,,,2020-10-15 20:30:21,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.86,4.71,5.56,6.85,4.86,16.0
20485,,37.653667,-122.488926,Cutty,inside,4.42,86.0,30.0,42.0,1010.84,,,,,,,,,,,,,2020-10-15 20:31:31,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.78,4.04,3.58,4.66,6.66,11.37
73219,,36.481075,-121.733668,CV Village,outside,2.92,101.0,38.333333333333336,7.0,1000.18,,,,,,,,,,,,,2020-10-15 20:31:08,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.56,3.07,2.84,3.7,5.62,10.91
76575,,34.188345,-118.959738,CValleVista,outside,19.11,96.0,35.55555555555556,14.0,989.01,,,,,,,,,,,,,2020-10-15 20:30:12,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,23.49,22.52,21.44,22.33,17.78,4.51
74813,,37.26314,-122.034075,CVD cul-de-sac,inside,1.88,88.0,31.111111111111114,23.0,1000.08,,,,,,,,,,,,,2020-10-15 20:31:31,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.87,1.87,1.83,2.51,4.3,4.91
72103,,33.163604,-117.353136,Cvillage,inside,13.53,89.0,31.666666666666668,33.0,1012.55,,,,,,,,,,,,,2020-10-15 20:30:05,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,13.66,14.43,14.94,15.17,15.44,16.42
54197,,34.697028,-112.029107,CW-indoor,inside,0.2,122.0,50.0,0.0,894.26,,,,,,,,,,,,,2020-10-15 20:30:07,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.45,1.01,1.49,3.6,4.67,7.52
56615,,34.700424,-112.009613,CW-outdoor,outside,2.19,115.0,46.111111111111114,1.0,894.12,,,,,,,,,,,,,2020-10-15 20:29:51,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.02,2.58,2.94,3.52,4.72,6.69
36119,,48.100688,-79.719088,CXS,outside,0.0,48.0,8.88888888888889,71.0,967.1,,,,,,,,,,,,,2020-10-15 20:30:16,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.01,0.23,1.42,4.84,3.72,3.67
41261,,48.101173,-79.718958,CXS Main,inside,5.5,68.0,20.0,42.0,966.95,,,,,,,,,,,,,2020-10-15 20:30:40,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,7.36,7.87,8.14,6.38,4.08,4.43
